code,name,freq,listed_in,amount
SWE,Sweden,26,"Music & Musicals",2
AUS,Australia,97,"Sports Movies",6
IRL,Ireland,24,Dramas,9
IRL,Ireland,24,"International Movies",12
SWE,Sweden,26,Dramas,8
TWN,Taiwan,72,"TV Horror",1
HRV,Croatia,3,Comedies,1
SVN,Slovenia,3,Comedies,1
CZE,"Czech Republic",14,"Independent Movies",1
HRV,Croatia,3,"Independent Movies",2
SVN,Slovenia,3,"Independent Movies",2
CZE,"Czech Republic",14,"International Movies",8
BWA,Botswana,1,Documentaries,1
MEX,Mexico,107,"Romantic TV Shows",5
IDN,Indonesia,49,"Sci-Fi & Fantasy",2
ISL,Iceland,6,Dramas,3
ISL,Iceland,6,Thrillers,1
NOR,Norway,17,Thrillers,3
IDN,Indonesia,49,Comedies,6
CZE,"Czech Republic",14,Dramas,4
URY,Uruguay,7,Documentaries,3
URY,Uruguay,7,"International Movies",6
MYS,Malaysia,19,"Kids' TV",4
MYS,Malaysia,19,"TV Comedies",1
TWN,Taiwan,72,"Horror Movies",1
JPN,Japan,161,"TV Thrillers",2
SGP,Singapore,25,"Stand-Up Comedy",1
IND,India,748,"TV Thrillers",3
IRN,Iran,4,"Horror Movies",1
QAT,Qatar,4,"Horror Movies",1
JOR,Jordan,6,"Horror Movies",1
IRN,Iran,4,"International Movies",3
QAT,Qatar,4,"International Movies",4
IRN,Iran,4,Thrillers,1
QAT,Qatar,4,Thrillers,2
PAK,Pakistan,23,"TV Dramas",3
COL,Colombia,30,"Romantic Movies",2
SDN,Sudan,1,Dramas,1
KEN,Kenya,1,Dramas,1
SOM,Somalia,1,Dramas,1
ESP,Spain,155,"Faith & Spirituality",2
COL,Colombia,30,"Stand-Up Comedy",3
SWE,Sweden,26,"International TV Shows",5
SWE,Sweden,26,"TV Comedies",2
SWE,Sweden,26,"TV Dramas",3
USA,"United States",2054,"TV Shows",3
AUT,Austria,7,Documentaries,3
CAN,Canada,228,Docuseries,4
ISR,Israel,20,"International TV Shows",4
ISR,Israel,20,"TV Action & Adventure",1
ISR,Israel,20,"TV Dramas",1
URY,Uruguay,7,Dramas,4
IDN,Indonesia,49,"Horror Movies",10
ARG,Argentina,61,Comedies,10
ITA,Italy,55,"Kids' TV",4
MYS,Malaysia,19,Dramas,7
MEX,Mexico,107,"Independent Movies",15
ESP,Spain,155,"Romantic Movies",9
DNK,Denmark,30,"Sports Movies",1
SGP,Singapore,25,"Romantic Movies",1
SWE,Sweden,26,"Kids' TV",1
ESP,Spain,155,"Classic Movies",1
ARG,Argentina,61,"Classic Movies",1
ARE,"United Arab Emirates",19,"Sports Movies",1
CAN,Canada,228,"TV Horror",2
EGY,Egypt,53,"TV Mysteries",1
BRA,Brazil,56,Docuseries,2
BRA,Brazil,56,"Reality TV",1
KOR,"South Korea",133,"Stand-Up Comedy & Talk Shows",1
ITA,Italy,55,"TV Comedies",2
MAR,Morocco,6,"Action & Adventure",1
PAK,Pakistan,23,Comedies,7
TUR,Turkey,79,"TV Action & Adventure",2
SWE,Sweden,26,"Crime TV Shows",4
SWE,Sweden,26,"Romantic TV Shows",1
AUS,Australia,97,Movies,3
GTM,Guatemala,1,Dramas,1
GTM,Guatemala,1,"Independent Movies",1
